date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:26:56	60178/60178	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-eb12%22	https://waydex.volkovdesign.com/index.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/index.html	(from )
01:26:56	3724/3724	---MC-	424	error ('Failed%20Dependency')	text/html	date:Sat,%2005%20Aug%202023%2001:26:57%20GMT	https://waydex.volkovdesign.com/robots.txt		(from )
01:26:56	220780/220780	---MCZ	200	added ('OK')	text/css	etag:W/%2264257c7b-35e6c%22	https://waydex.volkovdesign.com/css/bootstrap.min.css	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/css/bootstrap.min.css	(from https://waydex.volkovdesign.com/index.html)
01:26:56	5949/5949	---MCZ	200	added ('OK')	text/css	etag:W/%2264257c7b-173d%22	https://waydex.volkovdesign.com/css/splide.min.css	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/css/splide.min.css	(from https://waydex.volkovdesign.com/index.html)
01:26:57	9777/9777	---MCZ	200	added ('OK')	text/css	etag:W/%2264257c7b-2631%22	https://waydex.volkovdesign.com/css/slimselect.css	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/css/slimselect.css	(from https://waydex.volkovdesign.com/index.html)
01:26:57	116114/116114	---MCZ	200	added ('OK')	text/css	etag:W/%2264257c7b-1c592%22	https://waydex.volkovdesign.com/css/main.css	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/css/main.css	(from https://waydex.volkovdesign.com/index.html)
01:26:57	655/655	---M--	200	added ('OK')	image/png	etag:%2264257ca8-28f%22	https://waydex.volkovdesign.com/icon/favicon-32x32.png	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/icon/favicon-32x32.png	(from https://waydex.volkovdesign.com/index.html)
01:26:57	5701/5701	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264257ce2-1645%22	https://waydex.volkovdesign.com/img/logo.svg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/logo.svg	(from https://waydex.volkovdesign.com/index.html)
01:26:57	59173/59173	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-e725%22	https://waydex.volkovdesign.com/index2.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/index2.html	(from https://waydex.volkovdesign.com/index.html)
01:26:58	54570/54570	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-d52a%22	https://waydex.volkovdesign.com/cars.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/cars.html	(from https://waydex.volkovdesign.com/index.html)
01:26:58	54928/54928	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-d690%22	https://waydex.volkovdesign.com/cars2.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/cars2.html	(from https://waydex.volkovdesign.com/index.html)
01:26:58	62221/62221	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-f30d%22	https://waydex.volkovdesign.com/cars3.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/cars3.html	(from https://waydex.volkovdesign.com/index.html)
01:26:58	60485/60485	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-ec45%22	https://waydex.volkovdesign.com/car.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/car.html	(from https://waydex.volkovdesign.com/index.html)
01:26:59	26620/26620	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-67fc%22	https://waydex.volkovdesign.com/faq.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/faq.html	(from https://waydex.volkovdesign.com/index.html)
01:26:59	48311/48311	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-bcb7%22	https://waydex.volkovdesign.com/about.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/about.html	(from https://waydex.volkovdesign.com/index.html)
01:26:59	64115/64115	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-fa73%22	https://waydex.volkovdesign.com/account.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/account.html	(from https://waydex.volkovdesign.com/index.html)
01:26:59	45334/45334	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-b116%22	https://waydex.volkovdesign.com/blog.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/blog.html	(from https://waydex.volkovdesign.com/index.html)
01:26:59	38284/38284	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-958c%22	https://waydex.volkovdesign.com/blog2.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/blog2.html	(from https://waydex.volkovdesign.com/index.html)
01:27:00	37901/37901	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-940d%22	https://waydex.volkovdesign.com/article.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/article.html	(from https://waydex.volkovdesign.com/index.html)
01:27:00	33467/33467	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-82bb%22	https://waydex.volkovdesign.com/pricing.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/pricing.html	(from https://waydex.volkovdesign.com/index.html)
01:27:00	27650/27650	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-6c02%22	https://waydex.volkovdesign.com/contacts.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/contacts.html	(from https://waydex.volkovdesign.com/index.html)
01:27:00	4609/4609	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-1201%22	https://waydex.volkovdesign.com/signin.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/signin.html	(from https://waydex.volkovdesign.com/index.html)
01:27:01	4633/4633	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-1219%22	https://waydex.volkovdesign.com/signup.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/signup.html	(from https://waydex.volkovdesign.com/index.html)
01:27:01	1874/1874	---M--	200	added ('OK')	text/html	etag:%2264257c69-752%22	https://waydex.volkovdesign.com/forgot.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/forgot.html	(from https://waydex.volkovdesign.com/index.html)
01:27:01	1464/1464	---M--	200	added ('OK')	text/html	etag:%2264257c69-5b8%22	https://waydex.volkovdesign.com/404.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/404.html	(from https://waydex.volkovdesign.com/index.html)
01:27:01	22204/22204	---MCZ	200	added ('OK')	text/html	etag:W/%2264257c69-56bc%22	https://waydex.volkovdesign.com/privacy.html	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/privacy.html	(from https://waydex.volkovdesign.com/index.html)
01:27:02	141445/141445	---M--	200	added ('OK')	image/jpeg	etag:%2264257cdd-22885%22	https://waydex.volkovdesign.com/img/cars/1-1.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/1-1.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:02	190439/190439	---M--	200	added ('OK')	image/jpeg	etag:%2264257cda-2e7e7%22	https://waydex.volkovdesign.com/img/cars/1-3.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/1-3.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:02	224330/224330	---M--	200	added ('OK')	image/jpeg	etag:%2264257cda-36c4a%22	https://waydex.volkovdesign.com/img/cars/1-2.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/1-2.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:03	131716/131716	---M--	200	added ('OK')	image/jpeg	etag:%2264257cda-20284%22	https://waydex.volkovdesign.com/img/cars/2-1.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/2-1.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:03	122387/122387	---M--	200	added ('OK')	image/jpeg	etag:%2264257cda-1de13%22	https://waydex.volkovdesign.com/img/cars/2-2.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/2-2.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:03	122147/122147	---M--	200	added ('OK')	image/jpeg	etag:%2264257cda-1dd23%22	https://waydex.volkovdesign.com/img/cars/2-3.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/2-3.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:03	152800/152800	---M--	200	added ('OK')	image/jpeg	etag:%2264257cda-254e0%22	https://waydex.volkovdesign.com/img/cars/3-1.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/3-1.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:03	125425/125425	---M--	200	added ('OK')	image/jpeg	etag:%2264257cce-1e9f1%22	https://waydex.volkovdesign.com/img/cars/3-2.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/3-2.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:04	152307/152307	---M--	200	added ('OK')	image/jpeg	etag:%2264257cce-252f3%22	https://waydex.volkovdesign.com/img/cars/3-3.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/3-3.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:04	178183/178183	---M--	200	added ('OK')	image/jpeg	etag:%2264257cce-2b807%22	https://waydex.volkovdesign.com/img/cars/4-1.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/4-1.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:04	174870/174870	---M--	200	added ('OK')	image/jpeg	etag:%2264257cce-2ab16%22	https://waydex.volkovdesign.com/img/cars/4-2.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/4-2.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:05	133405/133405	---M--	200	added ('OK')	image/jpeg	etag:%2264257cce-2091d%22	https://waydex.volkovdesign.com/img/cars/4-3.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/4-3.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:05	228477/228477	---M--	200	added ('OK')	image/jpeg	etag:%2264257cce-37c7d%22	https://waydex.volkovdesign.com/img/cars/5-1.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/5-1.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:05	153715/153715	---M--	200	added ('OK')	image/jpeg	etag:%2264257cce-25873%22	https://waydex.volkovdesign.com/img/cars/5-2.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/5-2.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:05	116964/116964	---M--	200	added ('OK')	image/jpeg	etag:%2264257cce-1c8e4%22	https://waydex.volkovdesign.com/img/cars/5-3.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/5-3.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:05	92599/92599	---M--	200	added ('OK')	image/jpeg	etag:%2264257cce-169b7%22	https://waydex.volkovdesign.com/img/cars/6-1.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/6-1.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:05	147788/147788	---M--	200	added ('OK')	image/jpeg	etag:%2264257cce-2414c%22	https://waydex.volkovdesign.com/img/cars/6-2.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/6-2.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:06	76874/76874	---M--	200	added ('OK')	image/jpeg	etag:%2264257cb9-12c4a%22	https://waydex.volkovdesign.com/img/cars/6-3.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/cars/6-3.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:06	270544/270544	---M--	200	added ('OK')	image/jpeg	etag:%2264257cdd-420d0%22	https://waydex.volkovdesign.com/img/posts/8.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/posts/8.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:06	230222/230222	---M--	200	added ('OK')	image/jpeg	etag:%2264257cdd-3834e%22	https://waydex.volkovdesign.com/img/posts/3.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/posts/3.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:07	201428/201428	---M--	200	added ('OK')	image/jpeg	etag:%2264257ccc-312d4%22	https://waydex.volkovdesign.com/img/posts/1.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/posts/1.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:07	206515/206515	---M--	200	added ('OK')	image/jpeg	etag:%2264257cdd-326b3%22	https://waydex.volkovdesign.com/img/posts/4.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/posts/4.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:07	164636/164636	---M--	200	added ('OK')	image/jpeg	etag:%2264257cdd-2831c%22	https://waydex.volkovdesign.com/img/posts/5.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/posts/5.jpg	(from https://waydex.volkovdesign.com/index.html)
01:27:07	887/887	---M--	200	added ('OK')	image/svg+xml	etag:%2264257ccc-377%22	https://waydex.volkovdesign.com/img/flags/uk.svg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/flags/uk.svg	(from https://waydex.volkovdesign.com/index.html)
01:27:07	143457/143457	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264257ccc-23061%22	https://waydex.volkovdesign.com/img/flags/spain.svg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/flags/spain.svg	(from https://waydex.volkovdesign.com/index.html)
01:27:07	278/278	---M--	200	added ('OK')	image/svg+xml	etag:%2264257ccc-116%22	https://waydex.volkovdesign.com/img/flags/france.svg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/flags/france.svg	(from https://waydex.volkovdesign.com/index.html)
01:27:07	817/817	---M--	200	added ('OK')	image/svg+xml	etag:%2264257ccc-331%22	https://waydex.volkovdesign.com/img/flags/china.svg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/flags/china.svg	(from https://waydex.volkovdesign.com/index.html)
01:27:08	80599/80599	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264257c93-13ad7%22	https://waydex.volkovdesign.com/js/bootstrap.bundle.min.js	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/js/bootstrap.bundle.min.js	(from https://waydex.volkovdesign.com/index.html)
01:27:08	27577/27577	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264257c93-6bb9%22	https://waydex.volkovdesign.com/js/splide.min.js	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/js/splide.min.js	(from https://waydex.volkovdesign.com/index.html)
01:27:08	35284/35284	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264257c93-89d4%22	https://waydex.volkovdesign.com/js/slimselect.min.js	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/js/slimselect.min.js	(from https://waydex.volkovdesign.com/index.html)
01:27:08	52534/52534	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264257c93-cd36%22	https://waydex.volkovdesign.com/js/smooth-scrollbar.js	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/js/smooth-scrollbar.js	(from https://waydex.volkovdesign.com/index.html)
01:27:09	6733/6733	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264257c93-1a4d%22	https://waydex.volkovdesign.com/js/main.js	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/js/main.js	(from https://waydex.volkovdesign.com/index.html)
01:27:09	299/299	---M--	200	added ('OK')	image/svg+xml	etag:%2264257ce2-12b%22	https://waydex.volkovdesign.com/img/breadcrumb.svg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/breadcrumb.svg	(from https://waydex.volkovdesign.com/css/main.css)
01:27:09	3724/3724	---MC-	424	error ('Failed%20Dependency')	text/html	date:Sat,%2005%20Aug%202023%2001:27:10%20GMT	https://waydex.volkovdesign.com/	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/index-2.html	(from https://waydex.volkovdesign.com/css/bootstrap.min.css)
01:27:10	3724/3724	---MC-	424	error ('Failed%20Dependency')	text/html	date:Sat,%2005%20Aug%202023%2001:27:10%20GMT	https://waydex.volkovdesign.com/img/arrow2.svg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/arrow2.svg	(from https://waydex.volkovdesign.com/css/main.css)
01:27:10	8276/8276	---M--	200	added ('OK')	image/jpeg	etag:%2264257ce2-2054%22	https://waydex.volkovdesign.com/img/avatars/avatar.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/avatars/avatar.jpg	(from https://waydex.volkovdesign.com/index2.html)
01:27:10	707320/707320	---M--	200	added ('OK')	image/png	etag:%2264257ce2-acaf8%22	https://waydex.volkovdesign.com/img/home/home.png	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/home/home.png	(from https://waydex.volkovdesign.com/css/main.css)
01:27:10	5742/5742	---M--	200	added ('OK')	image/jpeg	etag:%2264257ce2-166e%22	https://waydex.volkovdesign.com/img/avatars/avatar2.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/avatars/avatar2.jpg	(from https://waydex.volkovdesign.com/index2.html)
01:27:10	6739/6739	---M--	200	added ('OK')	image/jpeg	etag:%2264257ce2-1a53%22	https://waydex.volkovdesign.com/img/avatars/avatar3.jpg	C:/Mes%20Sites%20Web/waydex/waydex.volkovdesign.com/img/avatars/avatar3.jpg	(from https://waydex.volkovdesign.com/index2.html)
